show_id,id_actor
s155,453
s155,1119
s155,456
s155,1120
s156,1121
s156,1122
s156,1123
s156,1124
s156,1125
s156,1126
s156,1127
s156,1128
s156,1129
s156,1130
s157,979
s157,1131
s157,1132
s157,1133
s157,1134
s157,1135
s157,1136
s157,1137
s157,1138
s157,1139
s157,1140
s157,1141
s157,1142
s158,1143
s158,1144
s158,1145
s158,1146
s158,1147
s158,1148
s158,1149
s158,1150
s159,1151
s159,1152
s159,1153
s159,1154
s159,1155
s159,1156
s159,1157
s159,1158
s159,1159
s159,1160
s160,1161
s160,1094
s160,1162
s160,1163
s160,1164
s160,1165
s160,1166
s160,1167
s160,1168
s160,1169
s161,1170
s161,1171
s161,1172
s161,1173
s161,1174
s161,1175
s161,1176
s161,1177
s162,1178
s162,875
s162,1179
s162,1180
s162,1181
s162,1182
s162,1183
s162,1184
s162,1185
s162,1186
s162,1187
s162,962
s163,1188
s163,1189
s163,1190
s163,1191
s163,1192
s163,1193
s163,1194
s163,1195
s163,1196
s163,1197
s164,1198
s164,1199
s164,1200
s164,1201
s164,1202
s164,1203
s164,1204
s164,1205
s164,1153
s164,876
s164,1206
s165,1207
s165,1208
s165,1209
s165,1210
s165,1211
s165,1212
s165,1213
s165,1214
s165,1215
s165,1216
s165,1217
s165,1218
s165,1219
s165,1220
s165,1221
s166,1222
s166,1223
s166,1224
s166,1225
s166,1226
s166,1227
s166,1228
s166,1229
s166,1230
s167,1231
s167,1232
s167,1233
s167,1234
s167,1235
s167,1236
s167,1237
s167,987
s167,1238
s167,1239
s168,1240
s168,1241
s168,61
s168,1242
s168,1243
s168,1244
s168,1245
s168,1246
s168,1247
s168,1248
s168,1249
s169,201
s169,1250
s169,1251
s169,1252
s169,1253
s169,1254
s169,1255
s169,1256
s170,887
s170,1257
s170,1258
s170,228
s170,1259
s170,1260
s170,1261
s170,1262
s170,1263
s171,1264
s171,1265
s171,1266
s171,1267
s171,1268
s171,1269
s171,1270
s171,1271
s171,380
s171,1272
s171,1273
s171,1274
s171,1275
s171,1276
s171,1277
s171,1278
s171,1279
s171,1280
s171,1281
s171,1282
s171,1283
s171,1284
s171,1088
s171,1285
s171,1062
s171,1286
s171,1287
s171,1288
s171,1289
s171,1290
s171,1291
s171,1292
s171,1293
s171,1294
s171,1295
s171,1296
s172,1214
s172,959
s172,1297
s172,1298
s172,1299
s173,1300
s173,1301
s173,1302
s173,1303
s173,1304
s173,1305
s173,1306
s173,1307
s173,1308
s173,1309
s173,1310
s173,1311
s173,1312
s173,1313
s174,1314
s175,1006
s175,1315
s175,1316
s175,1317
s175,1318
s175,1319
s175,1320
s175,1321
s175,1322
s175,1323
s175,1324
s175,1325
s176,1326
s176,1327
s176,1328
s176,1329
s176,1330
s176,1331
s176,1332
s176,1333
s177,1334
s177,1335
s177,1336
s177,1337
s177,1338
s177,1339
s177,908
s177,1340
s177,1341
s177,1342
s178,1343
s178,1344
s178,1345
s178,1346
s178,1347
s178,1348
s178,1349
s178,1350
s178,1351
s178,1352
s179,1353
s179,1354
s179,1355
s179,1356
s179,1357
s179,1358
s179,1359
s179,1360
s180,1334
s180,1361
s180,1362
s180,1363
s180,1364
s180,1365
s180,1366
s180,1367
s181,1334
s181,1368
s181,1363
s181,1365
s181,1369
s181,1370
s181,1371
s181,1367
s181,1372
s181,1373
s182,1
s183,998
s183,944
s183,1374
s183,1375
s183,1241
s183,1376
s183,1377
s183,1378
s183,1379
s183,1380
s184,1381
s184,1382
s184,1383
s184,1384
s184,849
s184,1385
s184,1386
s184,1387
s184,1388
s184,1389
s185,1390
s186,1
s187,1391
s187,1392
s187,1393
s187,1394
s187,1395
s187,1396
s187,1397
s187,1398
s187,1399
s187,1400
s188,1401
s189,1402
s189,1403
s189,1404
s189,1405
s189,1406
s189,1407
s189,1408
s189,1409
s190,612
s190,1410
s190,1411
s190,610
s190,1412
s190,1413
s190,1414
s191,1415
s191,1416
s191,1417
s192,1418
s192,1419
s192,1420
s192,1421
s192,1422
s192,1423
s192,1424
s192,1425
s192,1426
s192,1427
s192,1428
s192,1429
s192,1430
s192,1431
s192,1432
s193,1433
s193,1434
s193,1435
s193,1436
s193,1437
s193,1438
s193,1439
s194,1440
s194,1441
s194,1442
s194,1443
s195,1444
s195,1445
s195,1446
s195,1447
s195,1448
s195,1449
s195,1450
s195,1451
s195,1452
s195,1453
s196,1454
s196,1455
s196,1456
s196,1457
s196,1458
s196,1459
s196,1460
s196,1461
s196,1462
s196,1463
s197,1464
s197,1465
s197,1466
s197,1467
s197,1468
s197,1469
s197,1470
s197,1471
s197,1472
s197,1473
s198,1474
s198,1475
s198,1476
s198,1477
s198,1478
s198,1479
s198,1480
s198,1481
s198,1482
s198,1483
s198,1484
s198,862
s198,1485
s199,515
s199,367
s199,384
s199,1486
s199,1487
s199,518
s199,517
s199,1488
s199,1489
s199,1490
s199,386
s199,1491
s199,1492
s199,364
s199,1493
s199,519
s200,1494
s200,1495
s200,1496
s200,1497
s200,1498
s200,1499
s200,1500
s200,1501
s201,1502
s201,1503
s201,1495
s201,1504
s201,1505
s201,1506
s201,1507
s201,1508
s202,1434
s202,1509
s202,1495
s202,1505
s202,1510
s202,1511
s202,1512
s202,786
s202,1513
s202,1514
s203,1434
s203,1515
s203,1503
s203,1516
s203,1435
s203,1517
s204,1434
s204,1494
s204,1518
s204,1519
s204,1520
s204,1521
s204,1522
s204,1523
s204,1524
s204,1525
s205,1434
s205,1515
s205,1435
s205,1526
s205,1527
s205,1528
s205,1529
s205,1530
s205,1531
s206,1532
s206,1533
s206,1534
s206,1435
s206,1535
s206,1536
s206,791
s206,1537
s207,1538
s207,1539
s207,1540
s207,1541
s207,1542
s207,1543
s207,1544
s208,1545
s208,1546
s208,1547
s208,1548
s208,1549
s208,1550
s208,1551
s209,1552
s209,1553
s209,1554
s209,1555
s209,1556
s209,1557
s209,1558
s209,1559
s210,1560
s210,1561
s210,1562
s210,1563
s210,1564
s210,1565
s210,1566
s210,1567
s210,1568
s210,1569
s211,1570
s211,1541
s211,1571
s211,1572
s211,1573
s211,1574
s211,1575
s212,1576
s212,1577
s212,1578
s212,1579
s212,1580
s212,1581
s212,1570
s212,1582
s213,1583
s213,1584
s213,1585
s213,1586
s213,1587
s213,1588
s213,1589
s213,1590
s213,1591
s213,1592
s213,1593
s213,1594
s213,1595
s214,1596
s214,1597
s214,1598
s214,1599
s214,1600
s214,1601
s214,1602
s214,1603
s214,1604
s214,1605
s214,1606
s214,1607
s214,1608
s215,1609
s215,1610
s215,1611
s215,1612
s215,1613
s215,1614
s215,1615
s215,1616
s215,1617
s215,1618
s215,1619
s215,1620
s215,1621
s216,1622
s216,1454
s216,1550
s216,1623
s216,1624
s216,1545
s216,1434
s216,1625
s216,1549
s216,1626
s216,1627
s216,1516
s217,1628
s217,1434
s217,235
s217,1629
s217,1630
s217,1631
s217,1568
s217,1632
s217,1633
s217,1634
s218,1635
s218,1553
s218,1434
s218,1636
s218,1637
s218,1638
s218,1639
s219,1
s220,1640
s220,1641
s220,1642
s220,1643
s220,1644
s220,1645
s220,1646
s220,1647
s220,419
s221,85
s221,1648
s221,1649
s221,1650
s221,1651
s221,1652
s221,1653
s221,1654
s222,1655
s223,1656
s223,1657
s223,1658
s223,1659
s223,1660
s223,1661
s223,1662
s223,1663
s223,1664
s223,1665
s223,1666
s223,1667
s223,1668
s223,1669
s223,1670
s224,1
s225,1
s226,1671
s226,1672
s226,1673
s226,1674
s226,1675
s226,1676
s226,1677
s226,1678
s226,1679
s226,1680
s226,1681
s227,1682
s227,1683
s227,1684
s227,1685
s227,1686
s227,1687
s227,1688
s227,1689
s227,1690
s228,1691
s228,1692
s228,1693
s228,1694
s229,1180
s229,1695
s229,1696
s229,1697
s229,1698
s229,1699
s229,1700
s229,1701
s229,1702
s229,1703
s230,1704
s230,1705
s230,1706
s230,1707
s231,1
s232,1708
s232,1709
s232,1710
s232,1711
s232,1712
s232,205
s233,1713
s233,1714
s234,1
s235,1
s236,1
s237,1715
s237,1716
s237,1717
s237,1718
s237,1719
s237,1720
s238,1715
s238,1716
s238,1717
s238,1718
s238,1719
s238,1720
s239,1715
s239,1716
s239,1717
s239,1718
s239,1719
s239,1720
s240,1715
s240,1716
s240,1717
s240,1718
s240,1719
s240,1720
s241,1721
s241,1722
s241,1723
s241,1724
s241,1725
s241,1726
s241,1727
s241,766
s241,1728
s241,1729
s241,673
s242,1730
s242,1731
s242,1732
s242,1733
s242,1734
s242,1735
s242,1736
s243,1
s244,1737
s244,1738
s244,1739
s244,1740
s244,1741
s245,1742
s245,1743
s245,1744
s245,1745
s245,1746
s245,1747
s245,1748
s245,1749
s245,1750
s245,1751
s246,1752
s247,1753
s247,1754
s247,1755
s247,1756
s247,1757
s247,1758
s247,1759
s248,1760
s248,1761
s248,1762
s248,1763
s248,1764
s248,1765
s248,1766
s248,1767
s248,1768
s249,1769
s249,1770
s249,1771
s249,1772
s249,1773
s249,1774
s249,1775
s250,1776
s250,1777
s250,1778
s250,240
s250,1779
s250,1780
s250,1781
s250,1782
s250,1783
s250,1784
s250,316
s250,1785
s251,1786
s251,1787
s251,1788
s251,1789
s251,1790
s251,1791
s251,1792
s251,1793
s252,1794
s252,555
s252,1795
s252,1796
s252,1797
s252,1798
s252,1799
s252,1800
s252,1801
s252,1802
s253,1803
s253,1804
s253,1805
s253,1806
s253,1807
s253,1808
s253,1809
s253,1810
s253,1811
s253,1812
s254,195
s254,1813
s254,1814
s254,1815
s255,1816
s255,188
s255,187
s255,189
s255,1817
s255,1818
s255,1819
s255,1820
s255,1821
s255,1822
s255,1823
s256,1
s257,1824
s257,1825
s257,1826
s257,1827
s257,1828
s257,1829
s257,1830
s257,1831
s257,1832
s257,1833
s257,584
s257,1834
s258,1835
s258,1836
s258,1837
s258,1838
s258,1839
s258,1840
s258,1841
s258,1842
s258,1843
s259,1844
s259,1845
s259,1846
s259,1847
s259,1848
s259,1849
s259,1850
s259,1851
s259,1852
s260,1853
s260,1854
s260,1855
s260,1856
s260,1857
s260,1858
s260,1859
s260,1860
s261,1861
s261,1862
s261,154
s261,1863
s261,1864
s261,1865
s261,1866
s261,1867
s261,1868
s261,1869
s261,1870
s262,1871
s262,1872
s262,1873
s262,1874
s262,1875
s262,1876
s262,1877
s262,1878
s262,1879
s263,1
s264,1
s265,1880
s265,56
s265,1881
s265,1882
s265,1883
s265,1884
s265,1885
s265,1886
s265,1887
s265,1888
s265,1889
s265,1890
s265,1891
s265,1892
s266,1893
s266,1894
s266,1895
s266,1896
s266,1897
s266,1898
s266,1899
s267,1
s268,1900
s268,1901
s268,1902
s268,1903
s268,1904
s268,1905
s268,1906
s268,1907
s269,1908
s269,1909
s269,1910
s269,387
s269,1911
s269,1912
s269,1913
s269,1833
s269,1914
s269,1915
s269,1916
s270,1917
s270,1918
s270,1919
s270,1920
s270,1921
s270,1922
s270,1923
s270,1924
s270,1925
s270,1926
s270,1927
s270,1928
s271,1929
s271,1930
s271,1931
s271,1932
s271,1933
s271,1934
s271,1935
s272,1936
s272,1429
s272,1937
s272,1938
s272,1939
s272,1940
s272,1941
s273,1942
s273,1943
s273,1944
s273,1945
s273,1946
s273,1947
s274,1948
s274,1949
s274,1950
s274,1951
s274,1952
s275,1953
s275,1954
s275,1955
s275,1956
s275,1957
s275,1958
s275,1959
s275,1960
s276,1961
s276,1962
s276,999
s276,1963
s276,1964
s276,1965
s276,1966
s276,1967
s276,1968
s276,1969
s276,1970
s276,1971
s276,1972
s276,1973
s276,1974
s277,1975
s277,1976
s277,1977
s277,1978
s277,1979
s277,1980
s278,1981
s278,1982
s278,1983
s278,1984
s278,1985
s278,1986
s278,1987
s278,1988
s279,1989
s280,1990
s280,1991
s280,1992
s280,1993
s280,1994
s280,1995
s280,1996
s280,1997
s281,1
s282,1998
s282,1999
s282,2000
s282,2001
s282,2002
s282,2003
s282,2004
s282,2005
s282,2006
s282,2007
s283,2008
s283,2009
s283,2010
s283,2011
s283,2012
s283,2013
s283,2014
s283,2015
s283,2016
s283,2017
s283,2018
s283,2019
s283,2020
s283,2021
s283,2022
s284,1
s285,2023
s285,2024
s285,2025
s285,2026
s285,2027
s285,2028
s285,2029
s285,2030
s286,2031
s286,958
s286,623
s286,2032
s286,2033
s286,2034
s286,2035
s286,2036
s287,2037
s287,2038
s287,2039
s287,2040
s287,2041
s287,2042
s287,2043
s287,2044
s287,2045
s287,2046
s288,2047
s288,2048
s288,2049
s288,2050
s288,2051
s288,2052
s288,2053
s288,2054
s288,2055
s289,2056
s289,2057
s289,2058
s289,2059
s289,2060
s289,2061
s289,2062
s289,2063
s289,2064
s289,2065
s289,2066
s290,825
s290,2067
s290,2068
s290,2069
s290,2070
s290,2071
s290,2072
s290,2073
s291,1
s292,2074
s292,458
s292,2075
s292,2076
s292,461
s292,2077
s292,2078
s292,2079
s292,2080
s292,2081
s292,2082
s292,2083
s292,439
s292,2084
s292,433
s292,441
s292,2085
s292,2086
s292,2087
s292,2088
s292,2089
s292,2090
s292,2091
s293,2092
s293,2093
s293,1242
s293,2094
s293,2095
s293,2096
s293,2097
s293,2098
s293,2099
s293,2100
s294,2101
s294,2102
s294,2103
s294,2104
s294,2105
s294,2106
s294,2107
s294,2108
s294,2109
s294,2110
s295,2111
s295,2112
s295,2113
s295,2114
s295,2115
s295,2116
s295,2117
s295,2118
s295,2119
s295,2120
s295,2121
s295,2122
s295,2123
s295,2124
s295,2125
s295,2126
s295,2127
s296,2128
s296,296
s296,2129
s296,2130
s296,2131
s296,2132
s296,2133
s297,2134
s297,2135
s297,2136
s297,2137
s297,2138
s297,2139
s297,2140
s298,2141
s298,551
s298,2142
s298,1837
s298,2143
s298,2144
s298,2145
s298,2146
s298,2147
s298,2148
s298,2149
s298,2150
s298,2151
s298,2152
s298,2153
s298,195
s298,2154
s298,2155
s298,2156
s298,2157
s298,2158
s298,2159
s299,2160
s299,1489
s299,2161
s299,367
s299,2162
s299,371
s299,2163
s299,2164
s299,387
s299,2165
s299,2166
s300,2167
s300,2168
s300,2169
s300,2170
s300,2171
s300,2172
s300,2173
s300,2174
s300,2175
s301,2176
s301,2177
s301,2178
s301,2179
s301,2180
s301,2181
s301,948
s301,425
s302,784
s302,2182
s302,1548
s302,2183
s302,2184
s302,2185
s302,2186
s303,1
s304,2187
s304,2188
s304,2189
s304,2190
s304,2191
s304,2192
s304,2193
s304,2194
s304,2195
s304,2196
s305,2197
s306,2198
s306,2199
s306,2200
s306,2201
s306,2202
s306,2203
s306,2204
s306,2205
s306,2206
s306,2207
s307,2102
s307,2208
s307,2209
s307,2210
s307,2211
s307,2212
s307,2213
s307,2214
s307,2215
s307,2216
s307,2217
s307,2218
s307,2219
s308,2220
s308,2221
s308,2222
s308,2223
s308,2224
s308,2225
s308,2226
s308,2227
s308,2228
s308,2229
s309,2230
s310,2231
s310,2232
s310,2233
s310,2234
s310,2235
s311,1
s312,2236
s312,2237
s312,2238
s312,2239
s312,2240
s312,2241
s312,2242
s312,2243
s312,2244
